id;Cod.;Descrizione;Tipologia;Categoria;Sottocategoria;Cod. Udm;Cod. Iva;Listino 1;Listino 2;Listino 3;Formula listino 1;Formula listino 2;Formula listino 3;Note;Cod. a barre;Internet;Produttore;Extra 1;Extra 2;Extra 3;Extra 4;Cod. fornitore;Fornitore;Cod. prod. forn.;Prezzo forn.;Note fornitura;Ord. a multipli di;Gg. ordine;Scorta min.;Ubicazione;Tot. q.tà caricata;Tot. q.tà scaricata;Q.tà giacenza;Q.tà impegnata;Q.tà disponibile;Q.tà in arrivo;Vendita media mensile;Stima data fine magazz.;Stima data prossimo ordine;Data primo carico;Data ultimo carico;Data ultimo scarico;Costo medio d'acq.;Ultimo costo d'acq.;Prezzo medio vend.;Stato magazzino;Immagine
589;CO-123;Male side Notching blade 10mm 340 each+gst;Art. con magazzino;RICAMBI LINEE;;pz;22;€ 215,16;;;[Prezzo forn.];;;;;;BradburyGroupAustralia;;;;;2073;Bradbury Group Australia;CO123;€ 215,16;;;0;0;SCAFFALE 1 PIANO 4;3;0;3;0;3;0;0;;;01/10/2021;28/11/2025;;;;;Regolare;CO-123 -- 000 (232).jpeg
590;MANIGLIA-RIPRESA-GN300-M10;MANIGLIA A RIPRESA M10;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;300-78-m10-sw;;ELESA;;;;;2047;Di Emidio Srl;GN300-M10;;;;0;0;SCAFFALE 5 PIANO 3;27;0;27;0;27;0;0;;;28/07/2023;28/07/2023;;;;;Regolare;MANIGLIA-RIPRESA-GN300-M10 -- 000 (449).jpg
591;MANOMETRO-6BAR-1/8;Manometro a 6 bar 1/8;Art. con magazzino;RICAMBI LINEE;PNEUMATICO;pz;22;;;;;;;;8010800071157;;;;;;;;;;;;;0;0;SCAFFALE 2 PIANO 4;4;0;4;0;4;0;0;;;27/07/2023;11/11/2025;;;;;Regolare;MANOMETRO-6BAR-1-8 -- 000 (432).jpg
592;00446;Manopole di serraggio spazzole colla in alluminio;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;evotecnica;;;;;;;;;;;0;4;SCAF 17A RIP  POS  PIANO4;8;0;8;0;8;0;0;;;10/11/2025;10/11/2025;;;;;Regolare;00446 -- 000 (652).jpg
593;MARTINETTO-1200-W35;Martinetto idraulico per pressa linea 1200 cod.2514211 w35;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;UNI-LIFT-JACK;;;;;2078;Eastern Industrial Automation;JOY M3UT0120LVU100;€ 840,74;Soggetto a Variazione cambio valuta;;0;0;SCAFFALE 6 PIANO 1;4;0;4;0;4;0;0;;;19/01/2023;19/01/2023;;€ 840,74;€ 840,74;;Regolare;MARTINETTO-1200-W35 -- 000 (325).jpg
594;00501;"mezzamaglia completa gRANDE
Interasse perni 12,8
diametro perni 4,5 con perno e coppiglia";Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;;;;;;2047;Di Emidio Srl;;;;;0;0;SCAF 16A RIP3  POS1  PIANO4;3;0;3;0;3;0;0;;;26/11/2025;26/11/2025;;;;;Regolare;00501 -- 000 (701).jpeg
595;MODULO- I/O-PLC-OMRON;Moduli contatori veloci a 2 assi bidirez., 500 kHz, per CJ1;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;;;OMRON;;;;;;;;;;;0;0;SCAFFALE 8 PIANO 1;1;0;1;0;1;0;0;;;30/09/2021;30/09/2021;;;;;Regolare;MODULO- I-O-PLC-OMRON -- 000 (216).jpg
596;MODULO-PLC-OMRON-AD041V1;Modulo di espansione per plc omron;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;4536854912948;;omron;;;;;;;omrcj1wad041v1n;€ 542,00;;;365;0;SCAFFALE 8 PIANO 3;1;0;1;0;1;0;0;;;18/01/2023;18/01/2023;;€ 542,00;€ 542,00;;Regolare;MODULO-PLC-OMRON-AD041V1 -- 000 (375).jpg
597;MODULO-PLC-OMRON-OC211;Modulo di espansione per plc omron A RELE' 2A 16DO;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;4548583425002;;omron;;;;;;;omrcj1woc211;€ 281,00;;;365;0;SCAFFALE 8 PIANO 3;2;0;2;0;2;0;0;;;18/01/2023;18/01/2023;;€ 281,00;€ 281,00;;Regolare;MODULO-PLC-OMRON-OC211 -- 000 (379).jpg
598;MODULO-PLC-OMRON-OC201;Modulo di espansione per plc omron A RELE' 2A 8DO;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;4548583424999;;omron;;;;;;;omrcj1woc201;€ 192,00;;;365;0;SCAFFALE 8 PIANO 3;2;0;2;0;2;0;0;;;18/01/2023;18/01/2023;;€ 192,00;€ 192,00;;Regolare;MODULO-PLC-OMRON-OC201 -- 000 (378).jpg
599;MODULO-RETE-OMRON-SRM21;Modulo di RETE per plc omron;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;4547648597494;;omron;;;;;;;omrcj1wSRM21.1,2;€ 368,00;;;365;0;SCAFFALE 8 PIANO 3;1;0;1;0;1;0;0;;;18/01/2023;18/01/2023;;€ 368,00;€ 368,00;;Regolare;MODULO-RETE-OMRON-SRM21 -- 000 (376).jpg
600;MODULO-PLC-OMRON-CLK23;Modulo per controller Link Cavo;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;4547648597661;;omron;;;;;;;omrcj1wclk23-240;€ 731,00;;;365;0;SCAFFALE 8 PIANO 3;1;0;1;0;1;0;0;;;18/01/2023;18/01/2023;;€ 731,00;€ 731,00;;Regolare;MODULO-PLC-OMRON-CLK23 -- 000 (380).jpg
601;MONOBLOCCO-ECCENTRICO-MOTORE-SPAZZOLE;monoblocco per movimento eccentrico spazzole colla;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;metaltrec;;;;;;;;;;;0;0;SCAF 16A P1  POSTO 1A;1;0;1;0;1;0;0;;;27/03/2023;27/03/2023;;;;;Regolare;MONOBLOCCO-ECCENTRICO-MOTORE-SPAZZOLE -- 000 (413).jpg
602;00466;MORSETTI ELETTRICI A CAPPUCCIO;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;ginevro;;;;;2091;GINEVRO S.R.L.;;;;;0;0;SCAF 14 RIP  POS  PIANO 4;30;0;30;0;30;0;0;;;24/11/2025;24/11/2025;;;;;Regolare;00466 -- 000 (671).jpg
603;MOTORE-W-DA90SE;"Motore 
1,1/1,26KW
50/60hz
220/400v
4,6/4,8 A
1420min
109408197";Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;INVENSIS;;;;;;;W-DA90SE;;usato;;0;0;SCAFFALE 7 PIANO 1;2;0;2;0;2;0;0;;;28/09/2021;28/09/2021;;;;;Regolare;MOTORE-W-DA90SE -- 000 (167).jpeg
604;MOTORE-0,75KW-60HZ;"Motore con riduttore Icme
0,75 kw
50/60hz
230/400v
3,9/2,25A
1420min
109408197";Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;icme;;;;;;;T 80 B 4;;usato;;0;0;SCAFFALE 7 PIANO 1;3;0;3;0;3;0;0;;;28/09/2021;28/09/2021;;;;;Regolare;MOTORE-0,75KW-60HZ -- 000 (161).jpeg
605;MOTORE-WEG-AL90S/L;Motore per cutter linea 1200 (originale);Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;weg;;;;;;;;;;;0;0;SCAFFALE 7PIANO 2;1;0;1;0;1;0;0;;;30/09/2021;30/09/2021;;;;;Regolare;MOTORE-WEG-AL90S-L -- 000 (223).jpeg
606;MOTORE-4KW-GR112M-2P-B5-IE3-V.230/400-HZ50/60;"Motore per frese VTR linea 1200/2400 
- MOTORE-4KW-GR112M-2P-B5-IE3-V.230/400-HZ50/60";Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;;;;;;2087;C.E.A. S.R.L.;4KW-GR112M-2P-B5-IE3-V.230/400-HZ50/60;;;;0;0;SCAF 6 P2  POSTO 1/A;1;0;1;0;1;0;0;;;18/04/2024;18/04/2024;;;;;Regolare;MOTORE-4KW-GR112M-2P-B5-IE3-V 230-400-HZ50-60 -- 000 (506).jpg
607;MOTORE+RIDUTTORE-RX67DT80M4;Motore per pompa colla linea 1200 (REVISIONATO);Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;SEW EURO DRIVE;;;;;;;RX67DT80M4;;;;0;0;SCAFFALE 7PIANO 2;1;0;1;0;1;0;0;;;30/09/2021;30/09/2021;;;;;Regolare;MOTORE+RIDUTTORE-RX67DT80M4 -- 000 (222).jpeg
608;MOTORE+RIDUTTORE+EMC-MSHE-80B-4;Motore per pompa colla linea 2400;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;BONFIGLIOLI;;;;;;;MSHE-80B-4;;;;0;0;SCAF 6 P3  POSTO 1;1;0;1;0;1;0;0;;;30/09/2021;30/09/2021;;;;;Regolare;MOTORE+RIDUTTORE+EMC-MSHE-80B-4 -- 000 (221).jpg
609;MOTORE-380V-0,75HP-1200/2400;Motore per spazzole colla, linea 1200/2400;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;seipee;;;;;2082;GAGLIOTI RICAMBI INDUSTRIALI DI GAGLIOTI DANTE E C. S.N.C.;MO075B14P4;€ 143,02;;;0;0;SCAFFALE 6 PIANO 1;2;0;2;0;2;0;0;;;12/12/2022;12/12/2022;;€ 143,02;€ 143,02;;Regolare;MOTORE-380V-0,75HP-1200-2400 -- 000 (366).jpg
610;1LE1001-0EB42-2AB4;MOTORE PIU RIDUTTORE 1LE1001-0EB42-2AB4 SIEMENS;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;SIEMENS;;;;;2084;D'ELPIDIO S.R.L;1LE1001-0EB42-2AB4;;;;0;0;SCAFFALE 5 PIANO TERRA;2;0;2;0;2;0;0;;;07/04/2023;07/04/2023;;;;;Regolare;1LE1001-0EB42-2AB4 -- 000 (423).jpg
611;R88M-G75030H-S2-D;Motore R88M-G75030H-S2-D OMRON + riduttore hidromec;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;omron;;;;;2084;D'ELPIDIO S.R.L;R88M-G75030H-S2-d;;;;0;0;SCAFFALE 6 PIANO 3;1;0;1;0;1;0;0;;;07/04/2023;07/04/2023;;;;;Regolare;R88M-G75030H-S2-D -- 000 (421).jpg
612;MOTORE-SOGA-90L/4;"Motore secondo tipo per cutter linea 1200
descrizione scheda tecnica allegata";Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;soga;;;;;;;90L/4;;usato;;0;0;SCAFFALE 6 PIANO 2;2;0;2;0;2;0;0;;;05/10/2021;05/10/2021;;;;;Regolare;MOTORE-SOGA-90L-4 -- 000 (242).jpg
613;MOT-3F-MS-712-4;MOTORE TRIFASE 0.37KW 0.5HP 230/400V 1500 GIRI IE1;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 6 PIANO 2;1;0;1;0;1;0;0;;;07/04/2023;07/04/2023;;;;;Regolare;MOT-3F-MS-712-4 -- 000 (422).jpg
614;DISPLAY-TOUCH-NB7W-TW01B;"NB7WTW01B.1 - Touchscreen 7"" 800 x 480 IP65, Omron Industrial Automation";Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;4548583501874;;OMRON;;;;;0010;Sai Automazioni S.R.L.;;;;;0;0;SCAF 9 P2  POSTO 1A;1;0;1;0;1;0;0;;;12/06/2024;12/06/2024;;;;;Regolare;DISPLAY-TOUCH-NB7W-TW01B -- 000 (511).jpg
615;CO-157;Notcher Ball Screw 1501,5;Art. con magazzino;RICAMBI LINEE;;pz;22;€ 950,17;;;[Prezzo forn.];;;;;;BradburyGroupAustralia;;;;;2073;Bradbury Group Australia;co157;€ 950,17;;;0;0;SCAFFALE 1 PIANO TERRA;2;0;2;0;2;0;0;;;01/10/2021;01/10/2021;;;;;Regolare;
616;CUSCINETTO-6004ZZNR;NSK 6004ZZNR Extra Light Deep Groove Ball Bearing, 20 mm Dia Bore, 42 mm OD;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;NSK;;;;;2047;Di Emidio Srl;6004ZZNR;;;;0;0;SCAFFALE 5 PIANO 4;6;0;6;0;6;0;0;;;30/10/2023;30/10/2023;;;;;Regolare;CUSCINETTO-6004ZZNR -- 000 (469).jpg
617;CUSCINETTO-32303/14-07;NSK cuscinetto a rulli conici originali HR 32303 14-07;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;NSK;;;;;2047;Di Emidio Srl;32303;;;;0;0;SCAFFALE 5 PIANO 4;2;0;2;0;2;0;0;;;30/10/2023;30/10/2023;;;;;Regolare;CUSCINETTO-32303-14-07 -- 000 (471).jpg
618;PANNELLO-USATO-ROBOTTINO;Pannello di controllo rovbottino per imballaggio USATO-vecchio;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 8 PIANO 2 senza contenitore;1;0;1;0;1;0;0;;;27/03/2023;27/03/2023;;;;;Regolare;
619;00327;Pattini di scorrinmento linea 2400, sega;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAF 18A RIP1  POS2  PIANO5;4;0;4;0;4;0;0;;;20/05/2025;20/05/2025;;;;;Regolare;
620;PATTINO-REXROTH-20;Pattino con cuscinetti a sfera 20;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;REXROCK;;;;;;;D-97419;;;;0;0;SCAFFALE 12 PIANO 4;1;0;1;0;1;0;0;;;29/09/2021;29/09/2021;;;;;Regolare;PATTINO-REXROTH-20 -- 000 (205).jpg
621;PATTINO-NSK-NAH20EMZ;Pattino con cuscinetti a sfera 20 ATTRAVERSAMENTO CARICO LASTRE 1200;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;€ 51,61;;;[Prezzo forn.];;;"gruppo di prodotti:	Guide NSK-rail
nome del prodotto:	carrello flangiato
tipo/modello:	NAH
Materiale:	acciaio
dimensione (larghezza binario):	20
altezza:	30
larghezza:	63
capacità di carico C0 (statico) [kN]:	32,5
velocità. max. [SM]:	5
collegamento a vite:	sopra sotto
raschietto:	SÌ";;;NSK;;;;;2088;Fitcontasta S.R.L.;NAH20EMZ;€ 51,61;;;0;0;SCAFFALE 12 PIANO 7;2;0;2;0;2;0;0;;;09/03/2023;09/03/2023;;;;;Regolare;PATTINO-NSK-NAH20EMZ -- 000 (400).jpg
622;00532;PATTNO PER TAGLIERINO,TAGLIO LAMIERA 1200;Art. con magazzino;RICAMBI LINEE;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAF 12 RIP  POS  PIANO 6;3;0;3;0;3;0;0;;;28/11/2025;28/11/2025;;;;;Regolare;00532 -- 000 (718).jpeg
623;RICAMBI-LUBRIFICATORI;Pezzi usati di ricambio per lubrificatore;Art. con magazzino;RICAMBI LINEE;PNEUMATICO;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 2 PIANO 3;1;0;1;0;1;0;0;;;24/09/2021;24/09/2021;;;;;Regolare;
624;00547;Piastra fresa femmina carico lastre 1200;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;evotecnica;;;;;;;;;;;20;4;SCAF 18B RIP  POS  PIANO 5;1;0;1;0;1;0;0;;;01/12/2025;01/12/2025;;;;;Sotto scorta minima;00547 -- 000 (729).jpeg
